name,pos,indct,from,to,1_allpro,probowl,years_started,carav,games_played
Carl Eller,DE,2004,1964,1979,5,6,15,130,225
John Elway,QB,2004,1983,1998,0,9,16,138,234
Barry Sanders,RB,2004,1989,1998,6,10,10,121,153
Marcus Allen,RB,2003,1982,1997,2,6,12,103,222
Elvin Bethea,DE,2003,1968,1983,0,8,13,72,210
Joe DeLamielleure,G,2003,1973,1985,3,6,12,102,185
James Lofton,WR,2003,1978,1993,1,8,14,101,233
Dave Casper,TE,2002,1974,1984,4,5,6,52,147
Dan Hampton,DE,2002,1979,1990,1,4,11,101,157
Jim Kelly,QB,2002,1986,1996,1,5,11,103,160
John Stallworth,WR,2002,1974,1987,1,3,10,80,165
Nick Buoniconti,LB,2001,1962,1976,5,8,13,110,183
Mike Munchak,G,2001,1982,1993,2,9,11,99,159
Jackie Slater,T,2001,1976,1995,0,7,13,94,259
Lynn Swann,WR,2001,1974,1982,1,3,8,62,116
Ron Yary,T,2001,1968,1982,6,7,12,124,207
Jack Youngblood,DE,2001,1971,1984,5,7,13,107,202
Howie Long,DE,2000,1981,1993,2,8,11,95,179
Ronnie Lott,DB,2000,1981,1994,6,10,14,139,192
Joe Montana,QB,2000,1979,1994,3,8,12,123,192
Dave Wilcox,LB,2000,1964,1974,2,7,11,76,153
Eric Dickerson,RB,1999,1983,1993,5,6,10,91,146
Tom Mack,G,1999,1966,1978,1,11,13,111,184
Ozzie Newsome,TE,1999,1978,1990,1,3,13,59,198
Billy Shaw,G,1999,1961,1969,5,8,9,70,119
Lawrence Taylor,LB,1999,1981,1993,8,10,13,137,184
Paul Krause,DB,1998,1964,1979,3,8,15,141,226
Tommy McDonald,FL,1998,1957,1968,0,6,9,62,152
Anthony Munoz,T,1998,1980,1992,9,11,12,148,185
Mike Singletary,LB,1998,1981,1992,7,10,12,123,179
Dwight Stephenson,C,1998,1980,1987,4,5,6,89,114
Mike Haynes,DB,1997,1976,1989,2,9,12,123,177
Mike Webster,C,1997,1974,1990,5,9,14,127,245
Lou Creekmur,T,1996,1950,1959,6,8,9,0,116
Dan Dierdorf,T,1996,1971,1983,3,6,10,94,160
Charlie Joiner,WR,1996,1969,1986,1,3,15,91,239
Mel Renfro,DB,1996,1964,1977,1,10,13,107,174
Henry Jordan,DT,1995,1957,1969,5,4,10,93,163
Steve Largent,WR,1995,1976,1989,1,7,14,103,200
Lee Roy Selmon,DE,1995,1976,1984,1,6,9,76,121
Kellen Winslow,TE,1995,1979,1987,3,5,7,62,109
Tony Dorsett,RB,1994,1977,1988,1,4,11,107,173
Jimmy Johnson,DB,1994,1961,1976,4,5,16,118,213
Leroy Kelly,RB,1994,1964,1973,3,6,8,87,136
Jackie Smith,TE,1994,1963,1978,0,5,13,73,210
Randy White,DT,1994,1975,1988,7,9,11,118,209
Dan Fouts,QB,1993,1973,1987,2,6,14,122,181
Larry Little,G,1993,1967,1980,5,5,11,124,183
Walter Payton,RB,1993,1975,1987,5,9,13,128,190
Lem Barney,DB,1992,1967,1977,2,7,11,117,140
John Mackey,TE,1992,1963,1972,3,5,8,58,139
John Riggins,RB,1992,1971,1985,1,1,12,91,175
Earl Campbell,RB,1991,1978,1985,3,5,7,68,115
John Hannah,G,1991,1973,1985,7,9,13,129,183
Stan Jones,G,1991,1954,1966,3,7,11,33,157
Jan Stenerud,K,1991,1967,1985,1,6,0,54,263
Buck Buchanan,DT,1990,1963,1975,4,8,13,96,182
Bob Griese,QB,1990,1967,1980,2,8,12,105,161
Franco Harris,RB,1990,1972,1984,1,9,12,102,173
Ted Hendricks,LB,1990,1969,1983,4,8,14,115,215
Jack Lambert,LB,1990,1974,1984,6,9,10,112,146
Bob St. Clair,T,1990,1953,1963,0,5,11,31,119
Mel Blount,DB,1989,1970,1983,2,5,14,122,200
Terry Bradshaw,QB,1989,1970,1983,1,3,13,106,168
Art Shell,T,1989,1968,1982,2,8,12,108,207
Willie Wood,DB,1989,1960,1971,5,8,11,107,166
Fred Biletnikoff,WR,1988,1965,1978,2,6,12,88,190
Mike Ditka,TE,1988,1961,1972,2,5,7,56,158
Jack Ham,LB,1988,1971,1982,6,8,12,117,162
Alan Page,DT,1988,1967,1981,6,9,15,142,218
Larry Csonka,RB,1987,1968,1979,2,5,11,73,146
Len Dawson,QB,1987,1957,1975,2,7,12,109,211
Joe Greene,DT,1987,1969,1981,4,10,12,107,181
John Henry Johnson,FB,1987,1954,1966,0,4,9,41,143
Jim Langer,C,1987,1970,1981,3,6,8,99,151
Don Maynard,E,1987,1958,1973,1,4,13,101,186
Gene Upshaw,G,1987,1967,1981,5,7,14,130,217
Paul Hornung,HB,1986,1957,1966,2,2,8,46,104
Ken Houston,DB,1986,1967,1980,2,12,13,116,196
Willie Lanier,LB,1986,1967,1977,3,8,11,92,149
Fran Tarkenton,QB,1986,1961,1978,1,9,18,150,246
Doak Walker,HB,1986,1950,1955,4,5,5,0,67
Frank Gatski,C,1985,1946,1957,3,1,10,0,144
Joe Namath,QB,1985,1965,1977,1,5,9,94,140
O.J. Simpson,RB,1985,1969,1979,5,6,11,98,135
Roger Staubach,QB,1985,1969,1979,0,6,8,104,131
Willie Brown,DB,1984,1963,1978,5,9,13,125,204
Mike McCormack,T,1984,1951,1962,0,6,10,32,119
Charley Taylor,WR,1984,1964,1977,1,8,12,96,165
Arnie Weinmeister,DT,1984,1948,1953,5,4,6,0,71
Bobby Bell,LB,1983,1963,1974,6,9,12,106,168
Sonny Jurgensen,QB,1983,1957,1974,1,5,10,106,218
Bobby Mitchell,FL,1983,1958,1968,1,4,10,88,148
Paul Warfield,WR,1983,1964,1977,2,8,11,106,157
Doug Atkins,DE,1982,1953,1969,1,8,15,75,205
Sam Huff,LB,1982,1956,1969,2,5,13,65,168
George Musso,G,1982,1933,1944,1,3,9,0,128
Merlin Olsen,DT,1982,1962,1976,5,14,15,115,208
Red Badgro,E,1981,1927,1936,0,0,6,0,94
George Blanda,QB,1981,1949,1975,1,4,9,95,340
Willie Davis,DE,1981,1958,1969,5,5,10,100,162
Jim Ringo,C,1981,1953,1967,6,10,14,92,187
Herb Adderley,DB,1980,1961,1972,4,5,11,120,164
Deacon Jones,DE,1980,1961,1974,5,8,12,94,191
Bob Lilly,DT,1980,1961,1974,7,11,14,111,196
Jim Otto,C,1980,1960,1974,10,12,15,129,210
Dick Butkus,LB,1979,1965,1973,5,8,9,84,119
Yale Lary,DB,1979,1952,1964,3,9,11,70,133
Ron Mix,T,1979,1960,1971,9,8,9,102,142
Johnny Unitas,QB,1979,1956,1973,5,10,14,114,211
Lance Alworth,FL,1978,1962,1972,6,7,10,98,136
Tuffy Leemans,FB,1978,1936,1943,1,2,8,0,80
Ray Nitschke,LB,1978,1958,1972,2,1,11,95,190
Larry Wilson,DB,1978,1960,1972,5,8,13,100,169
Frank Gifford,HB,1977,1952,1964,4,8,12,27,136
Forrest Gregg,T,1977,1956,1971,7,9,11,108,193
Gale Sayers,RB,1977,1965,1971,5,4,5,61,68
Bart Starr,QB,1977,1956,1971,1,4,13,91,196
Bill Willis,DG,1977,1946,1953,3,3,6,0,99
Len Ford,DE,1976,1948,1958,4,4,10,0,125
Jim Taylor,FB,1976,1958,1967,1,5,9,86,133
Rosey Brown,T,1975,1953,1965,6,9,13,66,162
George Connor,T,1975,1948,1955,4,4,7,0,91
Dante Lavelli,E,1975,1946,1956,0,3,10,0,123
Lenny Moore,HB,1975,1956,1967,5,7,10,63,143
Tony Canadeo,HB,1974,1941,1952,1,0,8,0,116
Bill George,LB,1974,1952,1966,8,8,14,63,173
Lou Groza,T,1974,1946,1967,4,9,12,28,268
Night Train Lane,DB,1974,1952,1965,3,7,12,58,157
Raymond Berry,E,1973,1955,1967,3,6,13,61,154
Jim Parker,T,1973,1957,1967,8,8,10,86,135
Joe Schmidt,LB,1973,1953,1965,8,10,13,58,155
Gino Marchetti,DE,1972,1952,1966,7,11,13,58,161
Ollie Matson,RB,1972,1952,1966,5,6,9,17,171
Ace Parker,TB,1972,1937,1946,2,0,5,0,68
Jim Brown,FB,1971,1957,1965,8,9,9,107,118
